PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Salutation,NumRelatives,HasFamily,LastNameOccurance,TicketOccurance,IsBritish,TransformedCabinDeck,BoardedAtSouthamption,BoardedAtQueenstown,BoardedAtCherbourg,IsAlone,AgeLogFare,YouthFamilyScore
1,0,0,0,22.0,1,0,7.25,0,1,1,2,1,1,,1,0,0,0,55.121570613796194,27.0
2,1,2,1,38.0,1,0,71.2833,3,1,1,1,1,1,2.0,0,0,1,0,164.709253575632,43.0
3,1,0,1,26.0,0,0,7.925,2,0,0,1,1,0,,1,0,0,1,66.53824893025681,5.0
4,1,2,1,35.0,1,0,53.1,3,1,1,2,2,0,2.0,1,0,0,0,142.1757982350253,40.0
5,0,0,0,35.0,0,0,8.05,0,0,0,2,1,1,,1,0,0,1,89.90758468190458,5.0
6,0,0,0,26.249105147360495,0,0,8.4583,0,0,0,3,1,1,,0,1,0,1,,
7,0,2,0,54.0,0,0,51.8625,0,0,0,1,1,1,4.0,1,0,0,1,218.19434793639059,5.0
8,0,0,0,2.0,3,1,21.075,1,4,1,4,4,0,,1,0,0,0,6.521954001773672,13.0
9,1,0,1,27.0,0,2,11.1333,3,2,1,6,3,1,,1,0,0,0,75.08390739128926,59.0
10,1,1,1,14.0,1,0,30.0708,3,1,1,2,2,0,,0,0,1,0,49.80316425576416,19.0
11,1,0,1,4.0,1,1,16.7,2,2,1,2,2,0,6.0,1,0,0,0,12.309249042185655,13.0
12,1,2,1,58.0,0,0,26.55,2,0,0,1,1,1,2.0,1,0,0,1,200.1912681612589,5.0
13,0,0,0,20.0,0,0,8.05,0,0,0,1,1,1,,1,0,0,1,51.37576267537405,5.0
14,0,0,0,39.0,1,5,31.275,0,6,1,9,7,1,,1,0,0,0,140.0540231520398,239.0
15,0,0,1,14.0,0,0,7.8542,2,0,0,1,1,0,,1,0,0,1,35.75138848661804,5.0
16,1,1,1,55.0,0,0,16.0,3,0,0,1,1,1,,1,0,0,1,167.44873407478826,5.0
17,0,0,0,2.0,4,1,29.125,1,5,1,5,5,1,,0,1,0,0,7.060060507010248,15.0
18,1,1,0,29.131174764729632,0,0,13.0,0,0,0,4,1,1,,1,0,0,1,,
19,0,0,1,31.0,1,0,18.0,3,1,1,3,1,0,,1,0,0,0,97.20032069380363,36.0
20,1,0,1,29.54136427266396,0,0,7.225,3,0,0,1,1,0,,0,0,1,1,,
21,0,1,0,35.0,0,0,26.0,0,0,0,1,2,1,,1,0,0,1,120.18955215698011,5.0
22,1,1,0,34.0,0,0,13.0,0,0,0,1,1,1,3.0,1,0,0,1,98.27263976846959,5.0
23,1,0,1,15.0,0,0,8.0292,2,0,0,1,1,1,,0,1,0,1,38.50789488712837,5.0
24,1,2,0,28.0,0,0,35.5,0,0,0,1,1,1,0.0,1,0,0,1,103.63645527514981,5.0
25,0,0,1,8.0,3,1,21.075,2,4,1,4,4,0,,1,0,0,0,26.087816007094688,37.0
26,1,0,1,38.0,1,5,31.3875,3,6,1,4,4,0,,1,0,0,0,136.5805617447262,233.0
27,0,0,0,26.822101346268834,0,0,7.225,0,0,0,1,1,0,,0,0,1,1,,
28,0,2,0,19.0,3,2,263.0,0,5,1,4,4,1,2.0,1,0,0,0,106.22875262970628,100.0
29,1,0,1,27.933077565945045,0,0,7.8792,2,0,0,1,1,1,,0,1,0,1,,
30,0,0,0,22.98983630487048,0,0,7.8958,0,0,0,1,1,0,,1,0,0,1,,
31,0,2,0,40.0,0,0,27.7208,0,0,0,1,1,0,,0,0,1,1,139.52043845253615,5.0
32,1,2,1,32.65291192687239,1,0,146.5208,3,1,1,1,2,1,1.0,0,0,1,0,,
33,1,0,1,26.53406249231707,0,0,7.75,2,0,0,1,1,1,,0,1,0,1,,
34,0,1,0,66.0,0,0,10.5,0,0,0,1,1,1,,1,0,0,1,180.89544157906326,5.0
35,0,2,0,28.0,1,0,82.1708,0,1,1,3,2,1,,0,0,1,0,125.10034354861916,33.0
36,0,2,0,42.0,1,0,52.0,0,1,1,2,2,0,,1,0,0,0,169.80815324905112,47.0
37,1,0,0,29.680697297060295,0,0,7.2292,0,0,0,1,1,0,,0,0,1,1,,
38,0,0,0,21.0,0,0,8.05,0,0,0,1,1,1,,1,0,0,1,53.944550809142754,5.0
39,0,0,1,18.0,2,0,18.0,2,2,1,3,2,0,,1,0,0,0,56.438895886724694,41.0
40,1,0,1,14.0,1,0,11.2417,2,1,1,2,2,0,,0,0,1,0,39.02614812681115,19.0
41,0,0,1,40.0,1,0,9.475,3,1,1,1,1,0,,1,0,0,0,106.89692093836236,45.0
42,0,1,1,27.0,1,0,21.0,3,1,1,2,2,1,,1,0,0,0,87.96860652658002,32.0
43,0,0,0,28.94345366231809,0,0,7.8958,0,0,0,1,1,0,,0,0,1,1,,
44,1,1,1,3.0,1,2,41.5792,2,3,1,3,3,0,,0,0,1,0,11.523462268666783,14.0
45,1,0,1,19.0,0,0,7.8792,2,0,0,1,1,1,,0,1,0,1,48.556658531973,5.0
46,0,0,0,26.75818298127849,0,0,8.05,0,0,0,1,1,1,,1,0,0,1,,
47,0,0,0,29.86779502312428,1,0,15.5,0,1,1,1,1,1,,0,1,0,0,,
48,1,0,1,26.49660705943324,0,0,7.75,2,0,0,1,1,1,,0,1,0,1,,
49,0,0,0,29.430907053715774,2,0,21.6792,0,2,1,1,1,0,,0,0,1,0,,
50,0,0,1,18.0,1,0,17.8,3,1,1,2,2,1,,1,0,0,0,56.28168964728711,23.0
51,0,0,0,7.0,4,1,39.6875,1,5,1,6,6,0,,1,0,0,0,26.597856743179584,40.0
52,0,0,0,21.0,0,0,7.8,0,0,0,1,1,1,,1,0,0,1,53.538348589437,5.0
53,1,2,1,49.0,1,0,76.7292,3,1,1,4,3,1,3.0,0,0,1,0,215.76715581448292,54.0
54,1,1,1,29.0,1,0,26.0,3,1,1,1,1,0,,1,0,0,0,99.58562893006925,34.0
55,0,2,0,65.0,0,1,61.9792,0,1,1,1,1,0,1.0,0,0,1,0,273.28483802300786,70.0
56,1,2,0,28.1966504111196,0,0,35.5,0,0,0,1,1,1,2.0,1,0,0,1,,
57,1,1,1,21.0,0,0,10.5,2,0,0,1,1,1,,1,0,0,1,57.557640502429216,5.0
58,0,0,0,28.5,0,0,7.2292,0,0,0,1,1,0,,0,0,1,1,71.35905623725456,5.0
