Name,LastName,CommonName
"Braund, Mr. Owen Harris",Braund,Owen Harris
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Cumings,John Bradley (Florence Briggs Thayer)
"Heikkinen, Miss. Laina",Heikkinen,Laina
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Futrelle,Jacques Heath (Lily May Peel)
"Allen, Mr. William Henry",Allen,William Henry
"Moran, Mr. James",Moran,James
"McCarthy, Mr. Timothy J",McCarthy,Timothy J
"Palsson, Master. Gosta Leonard",Palsson,Gosta Leonard
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Johnson,Oscar W (Elisabeth Vilhelmina Berg)
"Nasser, Mrs. Nicholas (Adele Achem)",Nasser,Nicholas (Adele Achem)
"Sandstrom, Miss. Marguerite Rut",Sandstrom,Marguerite Rut
"Bonnell, Miss. Elizabeth",Bonnell,Elizabeth
"Saundercock, Mr. William Henry",Saundercock,William Henry
"Andersson, Mr. Anders Johan",Andersson,Anders Johan
"Vestrom, Miss. Hulda Amanda Adolfina",Vestrom,Hulda Amanda Adolfina
"Hewlett, Mrs. (Mary D Kingcome) ",Hewlett,(Mary D Kingcome)
"Rice, Master. Eugene",Rice,Eugene
"Williams, Mr. Charles Eugene",Williams,Charles Eugene
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Vander Planke,Julius (Emelia Maria Vandemoortele)
"Masselmani, Mrs. Fatima",Masselmani,Fatima
"Fynney, Mr. Joseph J",Fynney,Joseph J
"Beesley, Mr. Lawrence",Beesley,Lawrence
"McGowan, Miss. Anna ""Annie""",McGowan,Anna
"Sloper, Mr. William Thompson",Sloper,William Thompson
"Palsson, Miss. Torborg Danira",Palsson,Torborg Danira
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Asplund,Carl Oscar (Selma Augusta Emilia Johansson)
"Emir, Mr. Farred Chehab",Emir,Farred Chehab
"Fortune, Mr. Charles Alexander",Fortune,Charles Alexander
"O'Dwyer, Miss. Ellen ""Nellie""",Dwyer,Ellen
"Todoroff, Mr. Lalio",Todoroff,Lalio
"Uruchurtu, Don. Manuel E",Uruchurtu,Manuel E
"Spencer, Mrs. William Augustus (Marie Eugenie)",Spencer,William Augustus (Marie Eugenie)
"Glynn, Miss. Mary Agatha",Glynn,Mary Agatha
"Wheadon, Mr. Edward H",Wheadon,Edward H
"Meyer, Mr. Edgar Joseph",Meyer,Edgar Joseph
"Holverson, Mr. Alexander Oskar",Holverson,Alexander Oskar
"Mamee, Mr. Hanna",Mamee,Hanna
"Cann, Mr. Ernest Charles",Cann,Ernest Charles
"Vander Planke, Miss. Augusta Maria",Vander Planke,Augusta Maria
"Nicola-Yarred, Miss. Jamila",Yarred,Jamila
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Ahlin,Johan (Johanna Persdotter Larsson)
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Turpin,William John Robert (Dorothy Ann Wonnacott)
"Kraeff, Mr. Theodor",Kraeff,Theodor
"Laroche, Miss. Simonne Marie Anne Andree",Laroche,Simonne Marie Anne Andree
"Devaney, Miss. Margaret Delia",Devaney,Margaret Delia
"Rogers, Mr. William John",Rogers,William John
"Lennon, Mr. Denis",Lennon,Denis
"O'Driscoll, Miss. Bridget",Driscoll,Bridget
"Samaan, Mr. Youssef",Samaan,Youssef
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Franchi,Josef (Josefine Franchi)
"Panula, Master. Juha Niilo",Panula,Juha Niilo
"Nosworthy, Mr. Richard Cater",Nosworthy,Richard Cater
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Harper,Henry Sleeper (Myna Haxtun)
